,bill_id,bill_title_fr,bill_title_de,person_name,person_gender,canton_name,canton_abbrev,topic
0,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454275,Protocole de Kyoto. Bilan de la politique menée?,Kyoto-Protokoll. Bilanz der bisherigen Politik?,Hiltpold Hugues,m,Genf,GE,Umwelt
1,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454276,Possibilités d'économies pour la SSR,Einsparungspotenzial bei der SRG,Bäumle Martin,m,Zürich,ZH,Medien und Kommunikation
2,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454277,Coup d'Etat au Honduras,Putsch in Honduras,Müller Geri,m,Aargau,AG,Internationale Politik
3,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454278,Premières chutes de neige et gestion de la circulation sur l'A2,Wintereinbruch und Verkehrsmanagement auf der A2,Brönnimann Andreas,m,Bern,BE,Verkehr
4,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454279,Interdiction d'exercer une profession pour les femmes,Berufsverbot für Frauen,Kaufmann Hans,m,Zürich,ZH,Recht Allgemein
5,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454280,Interdiction des minarets. Examen de la conformité à la CEDH par le Conseil fédéral,Minarett-Verbot. EMRK-Abklärung durch den Bundesrat,Prelicz-Huber Katharina,f,Zürich,ZH,Recht Allgemein
6,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454281,Une expertise neutre pour évaluer les risques de la centrale nucléaire de Mühleberg?,Neutrales Gutachten zur Einschätzung der Risiken des Kernkraftwerks Mühleberg?,van Singer Christian,m,Waadt,VD,Energie
7,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454282,UBS. Action en responsabilité?,UBS-Verantwortlichkeitsklage?,Leutenegger Oberholzer Susanne,f,Basel-Landschaft,BL,Finanzwesen
8,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454283,Commandes d'impression confiées par la Poste à des entreprises situées à l'étranger,Druckaufträge der Post im Ausland,Malama Peter,m,Basel-Stadt,BS,Medien und Kommunikation
9,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454284,Le marché des télécommunications est-il concurrentiel face à une Swisscom étatisée?,Spielt der Wettbewerb im Telekom-Markt mit einer staatlichen Swisscom?,von Graffenried Alec,m,Bern,BE,Medien und Kommunikation
10,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454285,CEDH. Réserve relative à la construction de minarets,Vorbehalt des Minarett-Bauverbots in der EMRK,Wobmann Walter,m,Solothurn,SO,Kultur
11,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454286,Ouverture de l'accès au marché des télécommunications après la fusion Orange/Sunrise,Telekom-Markt nach Orange/Sunrise. Marktzutritt ermöglichen?,von Graffenried Alec,m,Bern,BE,Medien und Kommunikation
12,4:fa996e42-3a3f-4866-ad85-cb06ad63f099:454287,Célibat,Zölibat,Kaufmann Hans,m,Zürich,ZH,Kultur
