canton_id,canton_properties,bill_id,bill_properties
518263,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518263' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Schwyz', 'abbrev': 'SZ'}>",693723,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:693723' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Einbürgerungsverfahren', 'bill_number': '03.317', 'title_fr': 'Procédure de naturalisation', 'urgent': False, 'status': 'Resolved'}>"
518263,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518263' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Schwyz', 'abbrev': 'SZ'}>",480233,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:480233' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Umsetzbares revidiertes Gewässerschutzgesetz', 'bill_number': '12.309', 'title_fr': 'Loi fédérale sur la protection des eaux. Révision', 'urgent': False, 'status': 'Resolved'}>"
518263,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518263' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Schwyz', 'abbrev': 'SZ'}>",474073,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:474073' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Erhöhung der Wirksamkeit des NFA-Ressourcenausgleichs durch Einführung einer neutralen Zone', 'bill_number': '11.320', 'title_fr': ""Améliorer l'efficacité de la péréquation des ressources RPT grâce à la création d'une zone neutre"", 'urgent': False, 'status': 'Resolved'}>"
518263,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518263' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Schwyz', 'abbrev': 'SZ'}>",719466,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:719466' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Rückzug des Beitrittsgesuches der Schweiz zur Europäischen Union', 'bill_number': '06.303', 'title_fr': ""Retrait de la demande d'adhésion de la Suisse à l'Union européenne"", 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",512526,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:512526' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Für eine höhere Kostenbeteiligung des Bundes im Asylbereich', 'bill_number': '17.312', 'title_fr': ""Augmenter la participation de la Confédération aux coûts dans le domaine de l'asile"", 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",512527,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:512527' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Für eine wirksame Flüchtlingspolitik vor Ort anstelle falscher Anreize für Völkerwanderungen', 'bill_number': '17.303', 'title_fr': 'Pour une politique en matière de réfugiés efficace et la fin des incitations aux mouvements migratoires', 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",506753,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:506753' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Abschaffung der Heiratsstrafe', 'bill_number': '16.318', 'title_fr': 'Abolition de la pénalisation du mariage', 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",488314,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:488314' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Ausbau der A1 im Kanton Aargau auf sechs Spuren mit höchster Priorität', 'bill_number': '14.319', 'title_fr': ""Accorder la plus haute priorité à l'élargissement à six voies de l'A1 dans le canton d'Argovie"", 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",496641,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:496641' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Erreichung von Änderungen des eidgenössischen Gewässerschutzgesetzes', 'bill_number': '13.311', 'title_fr': 'Pour une modification de la loi fédérale sur la protection des eaux', 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",571806,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:571806' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Sicherung der Landesversorgung mit essenziellen Wirkstoffen, Medikamenten und medizinischen Produkten', 'bill_number': '21.303', 'title_fr': ""Garantir l'approvisionnement du pays en principes actifs essentiels, en médicaments et en produits médicaux"", 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",571805,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:571805' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Mitbeteiligung des Bundes an den Ertragsausfällen und Mehrkosten der Spitäler und Kliniken', 'bill_number': '21.304', 'title_fr': 'Participation de la Confédération aux pertes de recettes et aux coûts supplémentaires des hôpitaux et des cliniques', 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",480252,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:480252' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Unterbringung von Asylsuchenden. Nutzung von Militäranlagen mit Truppenunterkünften', 'bill_number': '12.311', 'title_fr': ""Hébergement des requérants d'asile. Utilisation des cantonnements militaires"", 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",720401,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:720401' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Abschaffung der Heiratsstrafe in der AHV-Gesetzgebung', 'bill_number': '07.301', 'title_fr': 'Rentes AVS. Ne plus sanctionner le mariage', 'urgent': False, 'status': 'Resolved'}>"
518265,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:518265' labels=frozenset({'Canton', 'Location'}) properties={'name': 'Aargau', 'abbrev': 'AG'}>",474061,"<Node element_id='4:18835c04-7e95-4e38-a98c-dc048d44da0c:474061' labels=frozenset({'Cantonal Initiative', 'Bill'}) properties={'title_de': 'Bundesgesetz über die Krankenversicherung. Änderung', 'bill_number': '11.309', 'title_fr': 'Loi fédérale sur l’assurance-maladie. Modification', 'urgent': False, 'status': 'Resolved'}>"
